# Dear prospective user. The following is a sample data file
# that you can submit to the poprep.tzv.fal.de webservice to
# demonstrate, how it can be used.
#
# The pedigree file needs to have five columns:
# 1. animal ID - treated as character string
# 2. sire ID   - treated as character string
# 3. dam ID    - treated as character string
# 4. birthdate - animal's birthdate (a number of
#                formats are handled (see website)
# 5. sex       - animal's sex: choose your own coding
#                1 - male; 2 - female or m/f
# The columns are separated by the pipe sign: |
#
# Regarding base animals, you have two options:
# 1. list them explictitly as shown here:
#    79950|75900|4500865|1952-03-04|M
#    4500865|unknown_sire|unknown_dam|1950-03-24|F
# 2. no need to list them at all; then sires and dams
#    that do not have an animal record of their own are
#    considered base animals:
#    79950|75900|4500865|1952-03-04|M
#    No animal record for 4500865 in the pedigree file. We will create an
#    appropriate one for you.
#
# You can run this pedigree file as is (# comments are ignored) by
# submitting this file to poprep.tzv.fal.de
#
# Enjoy! EG
# -----------------------------------------------------------
10016245|393931|8753024|1996-03-02|F
45858023|393934|40447370|2000-10-27|F
48111718|397033|44198322|2004-06-16|M
7167478|501215|6974761|1985-12-18|F
46488481|396291|42440084|2002-09-05|M
42486003|391869|8858917|1997-11-29|F
48859336|815792|48111705|2006-12-29|F
501157|60768|845682|1975-07-30|M
46488433|394851|41767817|2002-02-27|F
486653|79473|412943|1957-03-23|F
10016127|313692|8271274|1995-10-29|F
10016167|310493|7756496|1995-12-03|F
20377987|501244|8539826|1985-10-09|F
10016153|393931|7756468|1995-11-18|M
40447367|397036|7756468|1996-11-05|F
21131955|383558|20422543|1992-04-12|F
41767738|391869|8858917|1996-12-22|M
8539836|501064|1122869|1979-05-05|F
25445|23320|169537|1961-02-05|M
48111789|397029|41767757|2005-02-06|F
413523|394888|20558344|1995-02-09|M
40447358|501226|21004318|1996-08-04|F
45858049|394851|41767817|2000-12-27|F
40447340|394196|20766867|1996-03-04|M
2503804|95925|2522794|1965-12-15|F
88900|78100|436450|1959-03-12|M
46488438|393934|42486041|2002-03-11|F
8858948|393931|8271215|1994-12-14|F
46488555|399578|41767817|2003-01-16|F
40447321|394855|8421194|1996-02-08|F
48859167|413526|42440113|2005-03-26|M
20377790|501215|20146033|1985-11-16|F
945764|450001|573274|1963-07-18|M
197621|32457|176758|1973-06-02|F
48859230|815792|46488492|2005-11-13|M
42440146|395685|21131922|1999-01-01|F
105499|102187|486653|1967-12-03|M
21231868|391876|7867280|1993-11-02|M
45858130|397032|42440158|2001-08-28|M
2366146|450039|unknown_dam|1968-02-13|F
393142|501026|5714934|1991-01-08|M
40447327|240046|7867240|1996-02-18|F
8858917|394855|7756480|1994-10-27|F
48111747|397029|44198280|2004-09-26|M
21546079|501229|21004991|1995-07-15|F
394433|383558|7455294|1991-11-13|M
41767760|391873|21337042|1997-02-06|F
40447320|501226|7867236|1996-02-06|F
6859095|539860|488453|1964-03-02|F
457056|399580|7867280|1997-03-11|M
48859171|413526|42440146|2005-03-26|F
41767778|393934|8271239|1997-03-01|F
2839509|123197|2404003|1971-02-26|F
414262|310493|21132608|1995-08-19|M
42440114|394851|21459956|1998-11-28|F
6621780|501223|5863467|1982-01-28|F
20893604|552949|20422543|1989-11-23|F
45858058|399580|42486019|2001-01-24|F
46488547|414262|42440085|2003-01-08|F
21337199|310493|21005268|1995-01-10|F
77700|72200|404179|1953-03-21|M
42440084|399580|21005271|1998-11-02|F
20683038|501226|7265353|1988-01-25|F
391886|311920|8271488|1990-03-31|M
199700|97244|428590|1964-12-13|M
45858071|393934|40447321|2001-03-02|F
413519|240785|20894931|1995-02-22|M
8412459|501226|8271221|1994-10-31|M
8412414|391876|7756488|1994-03-09|F
20766867|552949|20377992|1990-04-20|F
44198356|394851|21546405|2000-04-05|F
7455223|500807|6621694|1986-11-16|F
21004998|941688|63913185|1986-02-10|F
390282|383558|20353309|1989-02-14|M
51419455|397033|48111772|2007-11-15|F
41767765|396293|8271208|1997-02-18|M
10016163|unknown_sire|unknown_dam|1995-12-01|M
10016145|313692|8271237|1995-11-14|F
21003762|501228|20558368|1990-12-26|F
48859293|815768|45858116|2006-06-20|M
46488573|399578|41767739|2003-03-27|F
7455203|501200|6974879|1986-09-23|F
21337026|501226|21004998|1994-02-25|F
42440076|399580|21233255|1998-10-25|M
44198272|399580|40447337|1999-11-09|F
7867285|383558|7167557|1991-11-14|F
41767819|396291|7756462|1997-11-13|F
975127|83959|151979|1963-05-29|F
2549912|37558|503255|1966-09-21|F
40447374|393141|8414356|1996-11-11|F
396298|501244|20422542|1993-02-08|M
414266|501226|7455337|1995-11-01|M
21004318|501200|20422077|1991-02-22|F
75800|unknown_sire|385001|1952-02-26|M
7196334|176970|2445300|1973-05-23|F
1122869|103714|307180|1970-02-04|F
8421130|391876|7756387|1993-10-07|F
391874|311920|5707795|1988-11-13|M
21131991|105499|5707813|1992-05-17|F
93800|87850|9999505261|1961-10-18|M
48111780|397033|44198344|2005-01-08|M
48111610|394856|45858058|2003-09-09|M
46488522|394855|42486042|2002-12-03|M
501229|155350|2858377|1979-08-30|M
44198274|399580|21233255|1999-11-11|F
8271278|391883|7756418|1993-03-12|F
48111615|414262|45858032|2003-09-22|M
21003815|314478|20684665|1990-11-25|F
393937|311920|8271488|1991-04-14|M
7867289|391877|7756456|1991-12-14|F
